"SITE_OPERATE_LOG_ID","OPERATE_DATE","USER_ID","USER_NAME","IP","MENU","PAGE","BUTTON","OPERATE_CONTENT","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DATA_VERSION","DELETE_FG"
"60","2018-10-10 10:39:22","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A2636","2018-10-10 10:39:22","BA004","2019-10-11 03:11:09","2","1"
"61","2019-01-22 17:56:55","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A2636","2019-01-22 17:56:55","BA004","2020-01-24 03:11:02","2","1"
"62","2019-01-22 17:57:27","OEM10140417-cs","cs-team","118.238.205.212","ユーザー管理","ユーザー登録","登録","ユーザー名[メディカルスキャニング経堂]を登録しました。","A2636","2019-01-22 17:57:27","BA004","2020-01-24 03:11:02","2","1"
"63","2019-01-23 12:22:09","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A1589","2019-01-23 12:22:09","BA004","2020-01-24 03:11:02","2","1"
"64","2019-01-23 12:22:42","1084000","泉　咲","118.238.205.212","ユーザー管理","ユーザー編集","削除","ユーザー名[メディカルスキャニング経堂]を削除しました。","A1589","2019-01-23 12:22:42","BA004","2020-01-24 03:11:02","2","1"
"65","2019-01-23 12:23:09","1084000","泉　咲","118.238.205.212","ユーザー管理","ユーザー登録","登録","ユーザー名[メディカルスキャニング経堂]を登録しました。","A1589","2019-01-23 12:23:09","BA004","2020-01-24 03:11:02","2","1"
"66","2019-01-23 14:35:05","mskyoudou","メディカルスキャニング経堂","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[メディカルスキャニング経堂]がログインしました。","B91479","2019-01-23 14:35:05","BA004","2020-01-24 03:11:02","2","1"
"67","2019-01-23 14:35:22","mskyoudou","メディカルスキャニング経堂","118.238.205.212","パスワード変更","パスワード変更","変更","ユーザー名[メディカルスキャニング経堂]がパスワードを変更しました。","B91479","2019-01-23 14:35:22","BA004","2020-01-24 03:11:02","2","1"
"68","2019-01-23 14:36:04","mskyoudou","メディカルスキャニング経堂","118.238.205.212","ユーザー管理","ユーザー編集","更新","ユーザー名[メディカルスキャニング経堂]を更新しました。","B91479","2019-01-23 14:36:04","BA004","2020-01-24 03:11:02","2","1"
"69","2019-01-29 18:53:31","mskyoudou","メディカルスキャニング経堂","39.110.218.68","ログイン","ログイン","ログイン","ユーザー名[メディカルスキャニング経堂]がログインしました。","B91479","2019-01-29 18:53:31","BA004","2020-01-30 03:11:08","2","1"
"70","2019-01-31 17:05:17","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A2636","2019-01-31 17:05:17","BA004","2020-02-01 03:11:07","2","1"
"71","2019-01-31 17:16:42","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー編集","更新","カレンダーを更新しました。（カレンダーID：[1]）","A2636","2019-01-31 17:16:42","BA004","2020-02-01 03:11:07","2","1"
"72","2019-01-31 17:17:01","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[3]）","A2636","2019-01-31 17:17:01","BA004","2020-02-01 03:11:07","2","1"
"73","2019-01-31 17:17:11","OEM10140417-cs","cs-team","118.238.205.212","受付管理","休日設定","保存","休日設定を保存しました。","A2636","2019-01-31 17:17:11","BA004","2020-02-01 03:11:07","2","1"
"74","2019-01-31 17:17:22","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー編集","期間設定・予約枠の数全てクリア","期間設定・予約枠の数全てクリアしました。（カレンダーID：[1]）","A2636","2019-01-31 17:17:22","BA004","2020-02-01 03:11:07","2","1"
"75","2019-01-31 17:17:37","OEM10140417-cs","cs-team","118.238.205.212","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[1]）","A2636","2019-01-31 17:17:37","BA004","2020-02-01 03:11:07","2","1"
"76","2019-01-31 17:17:54","OEM10140417-cs","cs-team","118.238.205.212","受付管理","ラインの並び替え","並び順保存","ラインの並び順を保存しました。","A2636","2019-01-31 17:17:54","BA004","2020-02-01 03:11:07","2","1"
"77","2019-01-31 17:19:40","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[16]）","A2636","2019-01-31 17:19:40","BA004","2020-02-01 03:11:07","2","1"
"78","2019-01-31 17:20:02","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー登録","登録","カレンダーを登録しました。（カレンダーID：[4]）","A2636","2019-01-31 17:20:02","BA004","2020-02-01 03:11:07","2","1"
"79","2019-01-31 17:20:18","OEM10140417-cs","cs-team","118.238.205.212","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[4]）","A2636","2019-01-31 17:20:18","BA004","2020-02-01 03:11:07","2","1"
"80","2019-01-31 17:22:59","OEM10140417-cs","cs-team","118.238.205.212","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[3]）","A2636","2019-01-31 17:23:00","BA004","2020-02-01 03:11:07","2","1"
"81","2019-01-31 17:23:48","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー編集","更新","カレンダーを更新しました。（カレンダーID：[2]）","A2636","2019-01-31 17:23:48","BA004","2020-02-01 03:11:07","2","1"
"82","2019-01-31 17:23:57","OEM10140417-cs","cs-team","118.238.205.212","受付管理","カレンダー編集","期間設定・予約枠の数全てクリア","期間設定・予約枠の数全てクリアしました。（カレンダーID：[2]）","A2636","2019-01-31 17:23:58","BA004","2020-02-01 03:11:07","2","1"
"83","2019-01-31 17:24:13","OEM10140417-cs","cs-team","118.238.205.212","受付管理","診療時間の設定","設定を保存","診療時間設定を保存しました。（カレンダーID：[2]）","A2636","2019-01-31 17:24:13","BA004","2020-02-01 03:11:07","2","1"
"84","2019-02-01 17:26:29","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A2636","2019-02-01 17:26:29","BA004","2020-02-02 03:11:02","2","1"
"85","2019-02-01 17:33:15","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース登録","登録","検査コースを登録しました。（検査コースID：[17]）","A2636","2019-02-01 17:33:15","BA004","2020-02-02 03:11:02","2","1"
"86","2019-02-01 17:37:12","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[1]）","A2636","2019-02-01 17:37:12","BA004","2020-02-02 03:11:02","2","1"
"87","2019-02-01 17:40:00","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[2]）","A2636","2019-02-01 17:40:00","BA004","2020-02-02 03:11:02","2","1"
"88","2019-02-01 17:42:42","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[3]）","A2636","2019-02-01 17:42:42","BA004","2020-02-02 03:11:02","2","1"
"89","2019-02-01 17:45:00","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[5]）","A2636","2019-02-01 17:45:00","BA004","2020-02-02 03:11:02","2","1"
"90","2019-02-01 17:47:53","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[4]）","A2636","2019-02-01 17:47:53","BA004","2020-02-02 03:11:02","2","1"
"91","2019-02-01 17:50:21","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[10]）","A2636","2019-02-01 17:50:21","BA004","2020-02-02 03:11:02","2","1"
"92","2019-02-01 17:52:57","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[9]）","A2636","2019-02-01 17:52:57","BA004","2020-02-02 03:11:02","2","1"
"93","2019-02-01 17:55:18","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[8]）","A2636","2019-02-01 17:55:18","BA004","2020-02-02 03:11:02","2","1"
"94","2019-02-01 17:57:06","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[6]）","A2636","2019-02-01 17:57:06","BA004","2020-02-02 03:11:02","2","1"
"95","2019-02-01 18:00:06","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[11]）","A2636","2019-02-01 18:00:06","BA004","2020-02-02 03:11:02","2","1"
"96","2019-02-01 18:02:26","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[7]）","A2636","2019-02-01 18:02:26","BA004","2020-02-02 03:11:02","2","1"
"97","2019-02-01 18:09:55","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[13]）","A2636","2019-02-01 18:09:55","BA004","2020-02-02 03:11:02","2","1"
"98","2019-02-01 18:11:53","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[12]）","A2636","2019-02-01 18:11:53","BA004","2020-02-02 03:11:02","2","1"
"99","2019-02-01 18:15:00","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[14]）","A2636","2019-02-01 18:15:00","BA004","2020-02-02 03:11:02","2","1"
"100","2019-02-01 18:16:06","m1009812","医療法人社団　じあい会","118.238.205.212","ログイン","ログイン","ログイン","ユーザー名[医療法人社団　じあい会]がログインしました。","A1589","2019-02-01 18:16:06","BA004","2020-02-02 03:11:02","2","1"
"101","2019-02-01 18:16:45","1084000","泉　咲","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[3]）","A1589","2019-02-01 18:16:45","BA004","2020-02-02 03:11:02","2","1"
"102","2019-02-01 18:17:52","OEM10140417-cs","cs-team","118.238.205.212","受付管理","検査コース編集","更新","検査コースを更新しました。（検査コースID：[15]）","A2636","2019-02-01 18:17:52","BA004","2020-02-02 03:11:02","2","1"
"103","2019-02-01 18:18:01","1084000","泉　咲","118.238.205.212","受付管理","検査コースの並び替え","並び順保存","検査コースの並び順を保存しました。","A1589","2019-02-01 18:18:01","BA004","2020-02-02 03:11:02","2","1"
"104","2019-02-01 18:18:46","1084000","泉　咲","118.238.205.212","受付管理","検査コースの並び替え","並び順保存","検査コースの並び順を保存しました。","A1589","2019-02-01 18:18:46","BA004","2020-02-02 03:11:02","2","1"
